icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
a91535,UAL1149 ,United States,1749938518.0,1749938518,-76.7698,39.6045,10363.2,False,214.17,235.97,0.0,,10896.6,5626,False,0
a677bf,N516AF  ,United States,1749938393.0,1749938393,-74.4025,40.8107,68.58,False,40.75,217.3,-2.28,,83.82,,False,0
a437da,DAL1133 ,United States,1749938518.0,1749938518,-80.4381,36.2072,10363.2,False,216.45,187.65,0.0,,10927.08,0077,False,0
a46d26,UAL2858 ,United States,1749937984.0,1749938274,-74.177,40.6827,,True,4.63,146.25,,,,,False,0
a34d2f,JBU1220 ,United States,1749938518.0,1749938518,-74.5751,40.147,10668.0,False,261.51,47.87,0.0,,11193.78,7466,False,0
a7d58f,N6036A  ,United States,1749938328.0,1749938328,-80.6476,32.9344,106.68,False,37.98,171.43,-6.5,,144.78,6104,False,0
ab62d3,SWA1961 ,United States,1749938518.0,1749938518,-78.1276,39.0631,2918.46,False,155.52,139.83,-4.88,,3040.38,7426,False,0
a8e247,DAL1883 ,United States,1749938518.0,1749938518,-80.1186,32.9026,11887.2,False,219.82,277.13,0.0,,12542.52,5727,False,0
ab5056,UAL777  ,United States,1749938518.0,1749938518,-80.2596,40.4868,624.84,False,82.84,271.07,13.0,,617.22,,False,0
a784f9,N584CC  ,United States,1749938500.0,1749938500,-74.4188,39.3547,15.24,False,20.04,29.2,-0.65,,0.0,,False,0
a46d8f,UAL2704 ,United States,1749938518.0,1749938518,-77.4459,38.9436,,True,4.63,171.56,,,,,False,0
acc040,EDV5075 ,United States,1749938518.0,1749938518,-80.8656,38.7979,9144.0,False,230.68,267.57,0.33,,9608.82,3340,False,0
a7d4c2,N6030F  ,United States,1749938517.0,1749938517,-80.1748,27.173,449.58,False,39.94,82.6,2.93,,502.92,,False,0
a6a300,ASA9    ,United States,1749938518.0,1749938518,-77.4907,39.1417,4831.08,False,193.92,346.81,13.66,,5021.58,7061,False,0
a2f95c,ASA290  ,United States,1749938264.0,1749938264,-74.1761,40.6832,,True,6.94,205.31,,,,,False,0
a40027,AAL1216 ,United States,1749938518.0,1749938518,-74.9818,40.4911,7056.12,False,191.19,250.35,11.05,,7360.92,2735,False,0
ad1986,AAL2135 ,United States,1749938518.0,1749938518,-80.823,34.3619,10972.8,False,215.01,204.6,0.0,,11590.02,0551,False,0
aa8a83,AAL704  ,United States,1749938517.0,1749938518,-77.549,37.4484,10668.0,False,275.79,39.78,0.0,,11262.36,1124,False,0
a4003d,EJA357  ,United States,1749938518.0,1749938518,-79.1619,36.9404,10888.98,False,208.15,216.56,-11.38,,11460.48,1015,False,0
a4008e,AAL2603 ,United States,1749938517.0,1749938518,-74.8924,40.171,7185.66,False,204.35,263.93,8.13,,7513.32,1704,False,0
ac74f9,EDV5323 ,United States,1749938518.0,1749938518,-74.0432,40.6879,1181.1,False,99.18,205.5,0.0,,1211.58,7377,False,0
a70f98,N554PM  ,United States,1749938517.0,1749938517,-76.494,40.0601,883.92,False,69.74,68.36,0.33,,891.54,,False,0
a5cf3c,UAL1523 ,United States,1749938404.0,1749938406,-77.4518,38.9473,,True,0.06,270.0,,,,,False,0
c8281c,ANZ2    ,New Zealand,1749938517.0,1749938518,-80.0489,37.8486,11277.6,False,271.85,85.77,0.0,,11856.72,0512,False,0
c08852,POE505  ,Canada,1749938518.0,1749938518,-79.4211,37.0168,12192.0,False,202.36,276.28,0.33,,12793.98,2163,False,0
c0751c,ROU1674 ,Canada,1749938498.0,1749938503,-80.5353,37.8764,11574.78,False,215.94,190.29,0.0,,12153.9,6317,False,0
aa4945,COL762  ,United States,1749938518.0,1749938518,-74.1471,39.5613,1744.98,False,133.88,224.07,-5.2,,1798.32,7361,False,0
acc59d,PDT5746 ,United States,1749938518.0,1749938518,-75.6492,40.0509,1798.32,False,137.53,195.18,0.0,,1859.28,3502,False,0
